2001
1013847.0 5432255.0 46 0 0 Holstenstr. 12, 24103 Kiel
1016619.0 5428640.0 46 10 10 Hofberg 2, 24145 Kiel
1009946.0 5434321.0 46 6 6 Eckernförder Str. 293, 24119 Kronshagen
1007406.0 5427305.0 46 10 10 Hamburger Landstr. 104, 24113 Molfsee
1006960.0 5427474.0 46 12 12 Captain-Thiessen-Weg 35, 24113 Molfsee
1006222.0 5426011.0 46 13 13 Hamburger Chaussee 4, 24113 Molfsee
1013969.0 5432366.0 46 1 1 Dänische Str. 2, 24103 Kiel
1018693.0 5428873.0 46 10 10 Franzensbader Str. 20, 24146 Kiel
1013357.0 5434085.0 46 4 4 Holtenauer Str. 172, 24105 Kiel
1013662.0 5428206.0 46 7 7 Barkauer Str. 81, 24145 Kiel
1011405.0 5432142.0 46 3 3 Hasseldieksdammer Weg 39, 24116 Kiel
1012635.0 5431811.0 46 2 2 Kirchhofallee 8, 24103 Kiel
1013153.0 5435371.0 46 6 6 Holtenauer Str. 283, 24106 Kiel
1016513.0 5431091.0 46 8 8 Sören 2, 24148 Kiel
1011479.0 5431961.0 46 3 3 Gellertstr. 19, 24114 Kiel
1011729.0 5432053.0 46 3 3 Zastrowstr. 28, 24114 Kiel
1012369.0 5431797.0 46 2 2 Ringstr. 64, 24103 Kiel
1013775.0 5433364.0 46 4 4 Adolfstr. 14, 24105 Kiel
1003273.0 5432234.0 46 11 11 Kählenweg 11, 24109 Melsdorf
1016506.0 5429031.0 46 9 9 Segeberger Landstr. 91, 24145 Kiel
1012687.0 5433910.0 46 4 4 Prof.-Anschütz-Str. 61, 24118 Kiel
1010365.0 5434827.0 46 7 7 Mangoldtstr. 4, 24106 Kiel
1012640.0 5437052.0 46 11 11 Waffenschmiede 50, 24159 Kiel
1013708.0 5437423.0 46 11 11 Lilienthalstr. 11, 24159 Kiel
1010599.0 5436078.0 46 10 10 Am Tannenberg 33, 24106 Kiel
1012646.0 5433530.0 46 3 3 Hansastr. 29, 24118 Kiel
1010598.0 5429821.0 46 6 6 Heckenrosenweg 23, 24113 Kiel
1008255.0 5434834.0 46 9 9 Holmredder 146, 24107 Kiel
1013116.0 5435445.0 46 6 6 Holtenauer Str. 285, 24106 Kiel
1012415.0 5431389.0 46 2 2 Harriesstr. 1, 24114 Kiel
1018825.0 5433024.0 46 11 11 Turnstr. 7, 24149 Kiel
1012827.0 5438058.0 46 14 14 Barkmissen 1, 24161 Altenholz
1016637.0 5431575.0 46 7 7 Hollmannstr. 39, 24148 Kiel
1012476.0 5430260.0 46 4 4 Hornheimer Weg 7, 24113 Kiel
1009075.0 5431089.0 46 10 10 Schönwohlder Weg 38, 24113 Kiel
1018855.0 5431289.0 46 10 10 Wiesenthal 1, 24148 Kiel
1013104.0 5433905.0 46 4 4 Im Brauereiviertel 42, 24118 Kiel
1013182.0 5433889.0 46 4 4 Im Brauereiviertel 20, 24118 Kiel
1019511.0 5427573.0 46 14 14 Bachstelzenweg 26, 24146 Kiel
1017358.0 5432843.0 46 10 10 Brückenstr. 40, 24148 Kiel
1008457.0 5435391.0 46 9 9 Ellerkrug 35, 24107 Kiel
1013406.0 5428566.0 46 6 6 Poppenkamp 2, 24145 Kiel
1007189.0 5436347.0 46 11 11 Alte Chaussee 9, 24107 Kiel
1007909.0 5435266.0 46 10 10 Holmredder 10, 24107 Kiel
1007096.0 5428722.0 46 11 11 Eiderbrook 51, 24113 Kiel
1011283.0 5435612.0 46 10 10 Charles-Roß-Ring 1, 24106 Kiel
1015219.0 5427498.0 46 8 8 Edisonstr. 9, 24145 Kiel
1013528.0 5428429.0 46 6 6 Barkauer Str. 33, 24145 Kiel
1007571.0 5433642.0 46 9 9 Suchsdorfer Weg 10, 24119 Kronshagen
1011667.0 5427282.0 46 10 10 Bokseer Weg 4, 24145 Kiel
1018287.0 5429814.0 46 8 8 Andreas-Hofer-Platz 1, 24147 Kiel
1013425.0 5438616.0 46 12 12 Ostpreußenplatz 15, 24161 Altenholz
1014596.0 5431537.0 46 5 5 Norddeutsche Str. 19, 24143 Kiel
1017186.0 5442310.0 46 18 18 Langenfelde 19, 24159 Kiel
1008874.0 5434271.0 46 8 8 Elsa-Brandström-Str. 26, 24119 Kronshagen
1007536.0 5430859.0 46 11 11 Spreeallee 1, 24111 Kiel
1014352.0 5433129.0 46 3 3 Michaelisstr. 1, 24105 Kiel
1007265.0 5430054.0 46 9 9 Rendsburger Landstr. 354, 24111 Kiel
1013437.0 5433399.0 46 3 3 Lornsenstr. 52, 24105 Kiel
998911.0 5434473.0 46 17 17 Treidelweg 1, 24107 Quarnbek
998979.0 5433955.0 46 16 16 Sturenberg 33, 24107 Quarnbek
1016637.0 5431575.0 46 7 7 Hollmannstr. 39, 24148 Kiel
1011662.0 5432688.0 46 4 4 Westring 266, 24116 Kiel
1013219.0 5437442.0 46 10 10 Immelmann-Str. 2, 24159 Kiel
1013254.0 5431752.0 46 1 1 Sophienblatt 12, 24103 Kiel
1007197.0 5433773.0 46 9 9 Habichtsweg 45, 24119 Kronshagen
1011266.0 5431501.0 46 4 4 Calvinstr. 9, 24114 Kiel
1007932.0 5433198.0 46 7 7 Kieler Str. 102, 24119 Kronshagen
1011419.0 5428143.0 46 9 9 Freesienfeld 8, 24145 Kiel
1014191.0 5434391.0 46 5 5 Graf-Spee-Str. 52, 24105 Kiel
1007493.0 5436308.0 46 11 11 Rügenweg 2, 24107 Kiel
1013130.0 5433887.0 46 4 4 Im Brauereiviertel 34, 24118 Kiel
1018262.0 5433259.0 46 11 11 Heikendorfer Weg 56, 24149 Kiel
1016192.0 5428262.0 46 10 10 Edisonstr. 62, 24145 Kiel
1013113.0 5434765.0 46 6 6 Projensdorfer Str. 17, 24106 Kiel
1017717.0 5430554.0 46 9 9 Ellerbeker Weg 125, 24147 Kiel
1015271.0 5428866.0 46 10 10 Julius-Leber-Str. 33, 24145 Kiel
1012837.0 5439762.0 46 14 14 Ohlandbogen 13, 24161 Altenholz
1007877.0 5433782.0 46 9 9 Suchsdorfer Weg 20, 24119 Kronshagen
1014119.0 5430204.0 46 5 5 Theodor-Heuss-Ring 137, 24143 Kiel
1016268.0 5438973.0 46 15 15 Fontanestr. 1, 24159 Kiel
1013199.0 5431616.0 46 1 1 Raiffeisenstr. 1, 24103 Kiel
1012781.0 5433225.0 46 2 2 Knooper Weg 116, 24118 Kiel
1012837.0 5439762.0 46 14 14 Ohlandbogen 13, 24161 Altenholz
1014613.0 5431500.0 46 6 6 Schulstr. 2, 24143 Kiel
1012546.0 5432077.0 46 2 2 Adelheidstr. 26, 24103 Kiel
1013419.0 5438426.0 46 12 12 Pommernring 5, 24161 Altenholz
1015932.0 5440393.0 46 15 15 Hof Pries 33, 24159 Kiel
1020498.0 5428839.0 46 13 13 Werdenfelser Str. 7, 24146 Kiel
1017872.0 5441289.0 46 19 19 Priwallstr. 53, 24159 Kiel
1007077.0 5428966.0 46 12 12 Am Hain 60, 24113 Kiel
1017037.0 5439765.0 46 16 16 Zum Dänischen Wohld 23, 24159 Kiel
1007151.0 5431698.0 46 8 8 Martenshofweg 3, 24109 Kiel
1010268.0 5431280.0 46 6 6 Arfrade 15, 24113 Kiel
1007374.0 5427587.0 46 12 12 Rammsmoor 43, 24113 Molfsee
1006979.0 5430036.0 46 10 10 Rendsburger Landstr. 377, 24111 Kiel
1011220.0 5429911.0 46 6 6 Pestalozzistr. 45, 24113 Kiel
1020282.0 5433118.0 46 11 11 Schönkirchener Str. 102, 24149 Kiel
1008272.0 5436303.0 46 11 11 Wippen 27, 24107 Kiel
1013091.0 5436923.0 46 12 12 Mählsweg 40, 24159 Kiel
1009674.0 5428068.0 46 8 8 Meimersdorfer Weg 151, 24145 Kiel
1019759.0 5428020.0 46 13 13 Rönner Weg 74, 24146 Kiel
1007281.0 5431881.0 46 7 7 Hofholzallee 131, 24109 Kiel
1004701.0 5431930.0 46 10 10 Aalborgring 5, 24109 Kiel
1009301.0 5434189.0 46 7 7 Kopperpahler Allee 128, 24119 Kronshagen
1014822.0 5426410.0 46 9 9 Steindamm 129, 24145 Kiel
1008790.0 5428260.0 46 10 10 Eschenbrook 21, 24113 Molfsee
1001881.0 5434164.0 46 14 14 Plattenberg 9, 24107 Quarnbek
1006068.0 5426468.0 46 13 13 Gannerbarg 4, 24113 Molfsee
1012006.0 5440361.0 46 16 16 Rehwinkel 29, 24161 Altenholz
1013492.0 5428815.0 46 6 6 Poppenbrügger Weg 1, 24145 Kiel
1007673.0 5436282.0 46 11 11 Ostseestr. 25, 24107 Kiel
1013066.0 5431827.0 46 1 1 Hopfenstr. 65, 24103 Kiel
1021683.0 5432045.0 46 13 13 Oppendorfer Weg 66, 24149 Kiel
1008717.0 5434774.0 46 10 10 Dr.-Hell-Str. 6, 24107 Kiel
1014331.0 5431079.0 46 4 4 Karlstal 26, 24143 Kiel
1008378.0 5428503.0 46 9 9 Hamburger Landstr. 42, 24113 Molfsee
1012483.0 5440353.0 46 16 16 Eichenweg 5, 24161 Altenholz
1001735.0 5434183.0 46 15 15 Reimershofer Weg 2, 24107 Quarnbek
1012485.0 5440426.0 46 15 15 Ahornallee 14, 24161 Altenholz
1011923.0 5430552.0 46 3 3 Hamburger Chaussee 63, 24113 Kiel
1013467.0 5438102.0 46 10 10 Boelckestr. 85, 24159 Altenholz
1012137.0 5430189.0 46 5 5 Vogelhain 22, 24113 Kiel
1009211.0 5431178.0 46 8 8 Rodenbeker Weg 1, 24113 Kiel
1013877.0 5432506.0 46 1 1 Klosterkirchhof 18, 24103 Kiel
1015274.0 5425734.0 46 10 10 Hexentellerweg 33, 24145 Kiel
