1001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.08447 54.3543 79 9 9 Ellerkrug 100, 24107 Kiel
10.1358 54.41213 79 16 16 Teichkoppel 74, 24161 Altenholz
10.12783 54.33188 85 2 2 Knooper Weg 110, 24118 Kiel
10.06735 54.32496 82 8 8 Skandinaviendamm 205, 24109 Kiel
10.12039 54.31669 91 3 3 Harmsstr. 68, 24114 Kiel
10.15914 54.39427 76 16 16 Beethovenweg 65, 24159 Kiel
10.07592 54.34965 91 10 10 Wetterbek 32, 24107 Kiel
10.16554 54.3116 85 8 8 Posadowskystr. 68, 24148 Kiel
10.15668 54.34017 76 4 4 Kiellinie 71, 24105 Kiel
10.07151 54.31698 92 8 8 Martenshofweg 3, 24109 Kiel
10.05576 54.34055 81 10 10 Dorfstr. 10, 24107 Ottendorf
10.11643 54.2966 75 6 6 Holunderbusch 42, 24113 Kiel
10.06206 54.30104 75 10 10 Rendsburger Landstr. 408, 24111 Kiel
10.14131 54.28559 82 7 7 Fettberg 1, 24145 Kiel
10.12905 54.38449 76 13 13 Posener Str. 25, 24161 Altenholz
10.06879 54.35972 91 12 12 Hoogewinkel 10, 24107 Kiel
10.12599 54.39734 75 14 14 Ohlandbogen 1, 24161 Altenholz
10.21288 54.31986 88 14 14 Kiebitzbek 45, 24149 Kiel
10.12633 54.31482 79 2 2 Königsweg 43, 24114 Kiel
10.07573 54.33885 82 9 9 Güstrower Weg 8, 24119 Kronshagen
10.12868 54.35844 75 7 7 Hohenrade 7, 24106 Kiel
10.04564 54.29869 90 10 10 Am Ihlberg 10, 24109 Melsdorf
10.07995 54.3573 88 10 10 Amrumring 17, 24107 Kiel
10.17744 54.29311 77 9 9 Jettkorn 3, 24146 Kiel
10.16943 54.31375 87 8 8 Franziusallee 131, 24148 Kiel
10.19733 54.28888 77 11 11 Starnberger Str. 94, 24146 Kiel
10.16318 54.38876 88 15 15 Fritz-Reuter-Str. 15, 24159 Kiel
10.07281 54.31881 91 7 7 Hofholzallee 131, 24109 Kiel
10.08493 54.33419 76 7 7 Haßknöll 1, 24119 Kronshagen
10.07961 54.34972 74 10 10 Wetterbek 17, 24107 Kiel
10.15858 54.39554 88 15 15 Beethovenweg 3, 24159 Kiel
10.07126 54.30069 80 10 10 Rendsburger Landstr. 366, 24111 Kiel
10.17353 54.41207 76 19 19 Delphinweg 7, 24159 Kiel
10.03968 54.34029 81 13 13 Dorfstr. 64, 24107 Ottendorf
10.11453 54.28253 92 9 9 Im Hasengrund 2, 24145 Kiel
10.13836 54.28097 77 8 8 Drosselstieg 1, 24145 Kiel
10.10793 54.31813 88 4 4 Hasseldieksdammer Weg 1, 24114 Kiel
10.18126 54.26459 77 13 13 Wolblöken 1, 24145 Kiel
10.12498 54.33072 88 2 2 Goethestr. 31, 24116 Kiel
10.05747 54.33094 80 12 12 Spitzbergenweg 2, 24109 Kiel
10.12388 54.30236 76 4 4 Alte Eichen 21, 24113 Kiel
10.13612 54.3553 92 8 8 Kiellinie 275, 24106 Kiel
10.13487 54.39909 90 15 15 Aukamp 67, 24161 Altenholz
10.0691 54.3569 83 12 12 Rethbruch 24, 24107 Kiel
10.07895 54.33601 77 9 9 Am Holm 10, 24119 Kronshagen
10.12589 54.3612 75 8 8 Hans-Detlev-Prien-Str. 8, 24106 Kiel
10.12961 54.38703 83 12 12 Memeler Str. 2, 24161 Altenholz
10.13441 54.34454 86 5 5 Kleiststr. 15, 24105 Kiel
10.18421 54.30019 90 9 9 Grazer Str. 1, 24147 Kiel
10.01291 54.34162 92 15 15 Alte Landstr. 19, 24107 Quarnbek
10.17304 54.29305 92 8 8 Haselbusch 15, 24146 Kiel
10.09402 54.30963 79 7 7 Hedenholz 27, 24113 Kiel
10.19691 54.29339 83 11 11 Starnberger Str. 26, 24146 Kiel
10.16936 54.39528 77 16 16 Gorch-Fock-Str. 2, 24159 Kiel
10.13511 54.35873 79 9 9 Weimarer Str. 1, 24106 Kiel
10.1289 54.32231 82 2 2 Dammstr. 21, 24103 Kiel
10.19069 54.29243 82 10 10 Troppauer Str. 35, 24146 Kiel
10.07448 54.36155 82 11 11 Nordseestr. 8, 24107 Kiel
10.13265 54.3209 87 2 2 Kleiner Kuhberg 12, 24103 Kiel
10.07633 54.36595 86 12 12 Ostseestr. 122, 24107 Kiel
10.13195 54.38259 80 13 13 Breslauer Str. 3, 24161 Altenholz
10.12496 54.33195 74 2 2 Hansastr. 2, 24118 Kiel
10.13711 54.34151 82 4 4 Blücherplatz 1, 24105 Kiel
10.17879 54.34403 75 14 14 Zum Kesselort 40, 24149 Kiel
10.13376 54.35536 77 7 7 Mercatorstr. 7, 24106 Kiel
10.18351 54.28743 75 10 10 Kruppallee 2, 24146 Kiel
10.17357 54.31833 91 10 10 Hangstr. 10, 24148 Kiel
10.14179 54.28093 86 8 8 Reesenberg 57, 24145 Kiel
10.1156 54.34718 83 8 8 Am Botanischen Garten 4, 24118 Kiel
10.07928 54.28051 92 12 12 Hamburger Landstr. 58, 24113 Molfsee
10.12934 54.36961 77 11 11 Gravensteiner Str. 117, 24159 Kiel
10.13131 54.32272 90 1 1 Rathausstr. 1, 24103 Kiel
10.09211 54.31178 74 8 8 Rodenbeker Weg 1, 24113 Kiel
10.16278 54.30523 91 6 6 Geschwister-Scholl-Str. 9, 24143 Kiel
10.10327 54.309 81 5 5 Saarbrückenstr. 154, 24113 Kiel
10.13782 54.28042 75 8 8 Barkauer Str. 70, 24145 Kiel
10.17215 54.31009 92 8 8 Tröndelweg 1, 24148 Kiel
10.17016 54.39387 79 17 17 Prieser Höhe 1, 24159 Kiel
10.13777 54.34712 92 5 5 Düvelsbeker Weg 47, 24105 Kiel
10.12842 54.31248 87 2 2 Sophienblatt 50, 24114 Kiel
10.06801 54.31224 86 9 9 Russeer Weg 110, 24109 Kiel
10.1219 54.30207 76 5 5 Vogelhain 16, 24113 Kiel
10.05681 54.34051 75 10 10 Auberg 2, 24107 Ottendorf
10.11261 54.32117 76 3 3 Hasseldieksdammer Weg 41, 24116 Kiel
10.13948 54.34549 75 6 6 Feldstr. 144, 24105 Kiel
10.11932 54.39409 83 15 15 Dreiangel 43, 24161 Altenholz
10.12942 54.34329 88 5 5 Niebuhrstr. 42, 24118 Kiel
10.18432 54.31754 91 9 9 Klausdorfer Weg 205, 24148 Kiel
10.09084 54.31006 76 8 8 Schönwohlder Weg 14, 24113 Kiel
10.11674 54.32177 83 3 3 Hasseldieksdammer Weg 23, 24116 Kiel
10.10557 54.30843 86 7 7 Wassilystr. 24, 24113 Kiel
10.07661 54.34956 80 10 10 Wetterbek 59, 24107 Kiel
9.98678 54.33207 82 15 15 Am Breitschlag 5, 24107 Quarnbek
10.02795 54.31674 76 10 10 Radebrüche 3, 24109 Melsdorf
10.08808 54.35575 92 9 9 Lärchenweg 4, 24107 Kiel
10.02332 54.31912 75 11 11 Karkkamp 21, 24109 Melsdorf
10.15709 54.39749 82 16 16 Händelweg 38, 24159 Kiel
10.21034 54.3212 87 13 13 Spitzenkamp 36, 24149 Kiel
10.11963 54.28279 80 8 8 Kieler Weg 74, 24145 Kiel
10.07413 54.30742 76 11 11 Wannseebogen 32, 24111 Kiel
10.07404 54.36321 75 11 11 Fehmarnwinkel 9, 24107 Kiel
10.13178 54.31922 90 1 1 Lange Reihe 26, 24103 Kiel
10.06308 54.35515 76 12 12 Gut Schwartenbek 1, 24107 Kiel
10.12928 54.3507 91 7 7 Heider Str. 21, 24106 Kiel
10.1673 54.4172 88 17 17 Schilkseer Str. 114, 24159 Kiel
10.04978 54.34032 75 11 11 Dorfstr. 41, 24107 Ottendorf
10.16439 54.38878 79 14 14 Schurskamp 1, 24159 Kiel
10.06179 54.32316 85 9 9 Göteborgring 60, 24109 Kiel
10.1316 54.34133 88 4 4 Esmarchstr. 81, 24118 Kiel
10.14082 54.29474 77 8 8 Sieversdiek 118, 24145 Kiel
10.0633 54.31454 82 10 10 Heitholmer Weg 35, 24109 Kiel
10.07351 54.33606 79 8 8 Suchsdorfer Weg 1, 24119 Kronshagen
10.08337 54.33344 82 7 7 Haßknöll 17, 24119 Kronshagen
10.13487 54.32286 74 0 0 Rathausplatz 2, 24103 Kiel
10.14441 54.31431 92 6 6 Kieler Str. 12, 24143 Kiel
10.16949 54.3234 77 8 8 Schönberger Str. 138, 24148 Kiel
10.06435 54.26248 92 12 12 Hamburger Chaussee 18, 24113 Molfsee
10.20032 54.31923 81 12 12 Benzstr. 1, 24148 Kiel
10.09904 54.3522 74 10 10 Feuerbachstr. 63, 24107 Kiel
10.06924 54.35392 86 14 14 Horstblick 3, 24107 Kiel
9.99011 54.34194 79 17 17 Möhlenbarg 1, 24107 Quarnbek
10.12968 54.40685 75 16 16 Tannenweg 1, 24161 Altenholz
10.13767 54.33704 83 3 3 Adolfstr. 50, 24105 Kiel
10.18664 54.33166 92 11 11 Reichweinweg 2, 24149 Kiel
10.11287 54.30576 79 5 5 Rendsburger Landstr. 40, 24113 Kiel
10.16441 54.39837 88 16 16 Joachim-Mähl-Str. 1, 24159 Kiel
10.12546 54.30442 81 4 4 Alte Lübecker Chaussee 34, 24113 Kiel
10.13361 54.29025 91 6 6 Kniestr. 6, 24145 Kiel
10.14574 54.36395 91 10 10 Mecklenburger Str. 58, 24106 Kiel
10.09211 54.31178 79 8 8 Rodenbeker Weg 1, 24113 Kiel
10.12742 54.36988 85 12 12 Geheimrat-Schultz-Weg 16, 24159 Kiel
10.17232 54.32472 79 9 9 Schönberger Str. 133, 24148 Kiel
10.18385 54.29722 90 8 8 Wiener Allee 2, 24147 Kiel
10.12866 54.37076 90 11 11 Waffenschmiede 1, 24159 Kiel
10.12877 54.33337 85 3 3 Schauenburgerstr. 58, 24105 Kiel
10.06895 54.30031 90 10 10 Rendsburger Landstr. 379, 24111 Kiel
10.15728 54.40363 74 15 15 Dorf 18, 24159 Kiel
10.09863 54.34293 76 6 6 Möllerstr. 2, 24119 Kronshagen
10.07379 54.31549 80 9 9 Melsdorfer Str. 49, 24109 Kiel
10.1704 54.41279 92 19 19 Seehundweg 1, 24159 Kiel
10.15002 54.30815 79 5 5 Ostring 105, 24143 Kiel
10.06984 54.27676 77 13 13 Holm 6, 24113 Molfsee
10.18807 54.29668 75 11 11 Tiroler Ring 561, 24147 Kiel
10.09192 54.35803 91 10 10 Alter Steenbeker Weg 1, 24107 Kiel
10.08667 54.28473 75 9 9 Wiesenweg 2, 24113 Molfsee
10.19255 54.32873 82 10 10 Schönkirchener Str. 37, 24149 Kiel
10.14658 54.34663 91 6 6 Bismarckallee 27, 24105 Kiel
10.08341 54.35319 82 9 9 Klinkerwisch 14, 24107 Kiel
10.16735 54.30091 76 8 8 Großer Kamp 56, 24147 Kiel
10.1334 54.34192 88 4 4 Holtenauer Str. 178, 24105 Kiel
10.12792 54.32212 76 2 2 Dammstr. 56, 24103 Kiel
10.18126 54.26459 76 13 13 Wolblöken 1, 24145 Kiel
10.07573 54.33885 87 9 9 Güstrower Weg 8, 24119 Kronshagen
10.07706 54.33829 86 9 9 Ernst-Barlach-Weg 14, 24119 Kronshagen
10.15883 54.39158 90 16 16 Fehrsstr. 1, 24159 Kiel
10.0596 54.25928 75 13 13 Möwenstr. 15, 24113 Molfsee
10.13557 54.33348 79 3 3 Gerhardstr. 18, 24105 Kiel
10.12707 54.35814 76 7 7 Hohenrade 15, 24106 Kiel
10.0557 54.3313 85 11 11 Tromsöstr. 21, 24109 Kiel
10.12792 54.36463 92 9 9 Timmerberg 19, 24106 Kiel
10.19925 54.33191 86 13 13 Steertsraderedder 40, 24149 Kiel
10.10294 54.34823 80 7 7 Baumgartenstr. 1, 24106 Kiel
10.09022 54.35626 86 9 9 Schneiderkamp 28, 24107 Kiel
10.12655 54.37547 83 11 11 Am Jägersberg 10, 24161 Altenholz
10.12015 54.32629 83 3 3 Eckernförder Str. 51, 24116 Kiel
10.16537 54.39662 77 15 15 Claudiusstr. 13, 24159 Kiel
10.05351 54.33324 80 12 12 Lofotenweg 113, 24109 Kiel
10.12813 54.28273 85 7 7 Grot Steenbusch 87, 24145 Kiel
10.18876 54.29578 81 9 9 Troppauer Str. 1, 24146 Kiel
10.07784 54.36239 76 11 11 Usedomer Weg 9, 24107 Kiel
10.11719 54.39419 77 15 15 Willy-Busch-Str. 1, 24161 Altenholz
